Date,Divisions,Channels,Product category,Cash,Actual Sales,Planned Sales
2022-02-28,Запад,B2B,Books,Cash,231,210
2022-02-28,Запад,B2B,Books,Non-Cash,429,390
2022-02-28,Запад,Mobile Commerce,Electronics,Cash,641,567
2022-02-28,Запад,Mobile Commerce,Electronics,Non-Cash,1190,1053
2022-02-28,Запад,Mobile Commerce,Clothing,Cash,406,472
2022-02-28,Запад,Mobile Commerce,Clothing,Non-Cash,755,878
2022-02-28,Запад,Mobile Commerce,Home & Kitchen,Cash,344,284
2022-02-28,Запад,Mobile Commerce,Home & Kitchen,Non-Cash,636,526
2022-02-28,Запад,Mobile Commerce,Sports,Cash,352,378
2022-02-28,Запад,Mobile Commerce,Sports,Non-Cash,653,702
2022-02-28,Запад,Mobile Commerce,Books,Cash,193,189
2022-02-28,Запад,Mobile Commerce,Books,Non-Cash,358,351
2022-02-28,Восток,B2C,Electronics,Cash,591,788
2022-02-28,Восток,B2C,Electronics,Non-Cash,1096,1462
2022-02-28,Восток,B2C,Clothing,Cash,584,656
2022-02-28,Восток,B2C,Clothing,Non-Cash,1085,1219
2022-02-28,Восток,B2C,Home & Kitchen,Cash,433,394
2022-02-28,Восток,B2C,Home & Kitchen,Non-Cash,804,731
2022-02-28,Восток,B2C,Sports,Cash,457,525
2022-02-28,Восток,B2C,Sports,Non-Cash,848,975
2022-02-28,Восток,B2C,Books,Cash,307,262
2022-02-28,Восток,B2C,Books,Non-Cash,571,488
2022-02-28,Восток,B2B,Electronics,Cash,998,1050
2022-02-28,Восток,B2B,Electronics,Non-Cash,1852,1950
2022-02-28,Восток,B2B,Clothing,Cash,752,875
2022-02-28,Восток,B2B,Clothing,Non-Cash,1398,1625
2022-02-28,Восток,B2B,Home & Kitchen,Cash,415,525
2022-02-28,Восток,B2B,Home & Kitchen,Non-Cash,770,975
2022-02-28,Восток,B2B,Sports,Cash,567,700
2022-02-28,Восток,B2B,Sports,Non-Cash,1053,1300
2022-02-28,Восток,B2B,Books,Cash,276,350
2022-02-28,Восток,B2B,Books,Non-Cash,514,650
2022-02-28,Восток,Mobile Commerce,Electronics,Cash,1153,945
2022-02-28,Восток,Mobile Commerce,Electronics,Non-Cash,2141,1755
2022-02-28,Восток,Mobile Commerce,Clothing,Cash,615,788
2022-02-28,Восток,Mobile Commerce,Clothing,Non-Cash,1140,1462
2022-02-28,Восток,Mobile Commerce,Home & Kitchen,Cash,411,472
2022-02-28,Восток,Mobile Commerce,Home & Kitchen,Non-Cash,764,878
2022-02-28,Восток,Mobile Commerce,Sports,Cash,699,630
2022-02-28,Восток,Mobile Commerce,Sports,Non-Cash,1299,1170
2022-02-28,Восток,Mobile Commerce,Books,Cash,362,315
2022-02-28,Восток,Mobile Commerce,Books,Non-Cash,673,585
2022-03-31,Север,B2C,Electronics,Cash,280,315
2022-03-31,Север,B2C,Electronics,Non-Cash,521,585
2022-03-31,Север,B2C,Clothing,Cash,236,262
2022-03-31,Север,B2C,Clothing,Non-Cash,439,488
2022-03-31,Север,B2C,Home & Kitchen,Cash,150,158
2022-03-31,Север,B2C,Home & Kitchen,Non-Cash,277,292
2022-03-31,Север,B2C,Sports,Cash,231,210
2022-03-31,Север,B2C,Sports,Non-Cash,429,390
2022-03-31,Север,B2C,Books,Cash,103,105
2022-03-31,Север,B2C,Books,Non-Cash,191,195
2022-03-31,Север,B2B,Electronics,Cash,378,420
2022-03-31,Север,B2B,Electronics,Non-Cash,702,780
2022-03-31,Север,B2B,Clothing,Cash,308,350
2022-03-31,Север,B2B,Clothing,Non-Cash,572,650
2022-03-31,Север,B2B,Home & Kitchen,Cash,202,210
2022-03-31,Север,B2B,Home & Kitchen,Non-Cash,374,390
2022-03-31,Север,B2B,Sports,Cash,344,280
2022-03-31,Север,B2B,Sports,Non-Cash,640,520
2022-03-31,Север,B2B,Books,Cash,174,140
2022-03-31,Север,B2B,Books,Non-Cash,322,260
2022-03-31,Север,Mobile Commerce,Electronics,Cash,302,378
2022-03-31,Север,Mobile Commerce,Electronics,Non-Cash,562,702
2022-03-31,Север,Mobile Commerce,Clothing,Cash,365,315
2022-03-31,Север,Mobile Commerce,Clothing,Non-Cash,679,585
2022-03-31,Север,Mobile Commerce,Home & Kitchen,Cash,208,189
2022-03-31,Север,Mobile Commerce,Home & Kitchen,Non-Cash,386,351
2022-03-31,Север,Mobile Commerce,Sports,Cash,189,252
2022-03-31,Север,Mobile Commerce,Sports,Non-Cash,351,468
2022-03-31,Север,Mobile Commerce,Books,Cash,134,126
2022-03-31,Север,Mobile Commerce,Books,Non-Cash,248,234
2022-03-31,Запад,B2C,Electronics,Cash,378,472
2022-03-31,Запад,B2C,Electronics,Non-Cash,702,878
2022-03-31,Запад,B2C,Clothing,Cash,414,394
2022-03-31,Запад,B2C,Clothing,Non-Cash,768,731
2022-03-31,Запад,B2C,Home & Kitchen,Cash,177,236
2022-03-31,Запад,B2C,Home & Kitchen,Non-Cash,329,439
2022-03-31,Запад,B2C,Sports,Cash,391,315
2022-03-31,Запад,B2C,Sports,Non-Cash,725,585
2022-03-31,Запад,B2C,Books,Cash,175,158
2022-03-31,Запад,B2C,Books,Non-Cash,324,292
2022-03-31,Запад,B2B,Electronics,Cash,687,630
2022-03-31,Запад,B2B,Electronics,Non-Cash,1275,1170
2022-03-31,Запад,B2B,Clothing,Cash,646,525
2022-03-31,Запад,B2B,Clothing,Non-Cash,1199,975
2022-03-31,Запад,B2B,Home & Kitchen,Cash,328,315
2022-03-31,Запад,B2B,Home & Kitchen,Non-Cash,608,585
2022-03-31,Запад,B2B,Sports,Cash,328,420
2022-03-31,Запад,B2B,Sports,Non-Cash,608,780
2022-03-31,Запад,B2B,Books,Cash,229,210
2022-03-31,Запад,B2B,Books,Non-Cash,425,390
2022-03-31,Запад,Mobile Commerce,Electronics,Cash,663,567
2022-03-31,Запад,Mobile Commerce,Electronics,Non-Cash,1232,1053
2022-03-31,Запад,Mobile Commerce,Clothing,Cash,415,472
2022-03-31,Запад,Mobile Commerce,Clothing,Non-Cash,773,878
2022-03-31,Запад,Mobile Commerce,Home & Kitchen,Cash,349,284
2022-03-31,Запад,Mobile Commerce,Home & Kitchen,Non-Cash,647,526
2022-03-31,Запад,Mobile Commerce,Sports,Cash,431,378
2022-03-31,Запад,Mobile Commerce,Sports,Non-Cash,800,702
2022-03-31,Запад,Mobile Commerce,Books,Cash,181,189
2022-03-31,Запад,Mobile Commerce,Books,Non-Cash,337,351
2022-03-31,Восток,B2C,Electronics,Cash,662,788
2022-03-31,Восток,B2C,Electronics,Non-Cash,1228,1462
2022-03-31,Восток,B2C,Clothing,Cash,492,656
2022-03-31,Восток,B2C,Clothing,Non-Cash,914,1219
2022-03-31,Восток,B2C,Home & Kitchen,Cash,335,394
2022-03-31,Восток,B2C,Home & Kitchen,Non-Cash,621,731
2022-03-31,Восток,B2C,Sports,Cash,620,525
2022-03-31,Восток,B2C,Sports,Non-Cash,1150,975
2022-03-31,Восток,B2C,Books,Cash,257,262
2022-03-31,Восток,B2C,Books,Non-Cash,478,488
2022-03-31,Восток,B2B,Electronics,Cash,808,1050
2022-03-31,Восток,B2B,Electronics,Non-Cash,1502,1950
2022-03-31,Восток,B2B,Clothing,Cash,954,875
2022-03-31,Восток,B2B,Clothing,Non-Cash,1771,1625
2022-03-31,Восток,B2B,Home & Kitchen,Cash,578,525
2022-03-31,Восток,B2B,Home & Kitchen,Non-Cash,1072,975
2022-03-31,Восток,B2B,Sports,Cash,735,700
2022-03-31,Восток,B2B,Sports,Non-Cash,1365,1300
2022-03-31,Восток,B2B,Books,Cash,273,350
2022-03-31,Восток,B2B,Books,Non-Cash,507,650
2022-03-31,Восток,Mobile Commerce,Electronics,Cash,879,945
2022-03-31,Восток,Mobile Commerce,Electronics,Non-Cash,1632,1755
2022-03-31,Восток,Mobile Commerce,Clothing,Cash,953,788
2022-03-31,Восток,Mobile Commerce,Clothing,Non-Cash,1769,1462
2022-03-31,Восток,Mobile Commerce,Home & Kitchen,Cash,519,472
2022-03-31,Восток,Mobile Commerce,Home & Kitchen,Non-Cash,966,878
2022-03-31,Восток,Mobile Commerce,Sports,Cash,598,630
2022-03-31,Восток,Mobile Commerce,Sports,Non-Cash,1112,1170
2022-03-31,Восток,Mobile Commerce,Books,Cash,290,315
2022-03-31,Восток,Mobile Commerce,Books,Non-Cash,538,585
2022-04-30,Север,B2C,Electronics,Cash,321,315
2022-04-30,Север,B2C,Electronics,Non-Cash,597,585
2022-04-30,Север,B2C,Clothing,Cash,233,262
2022-04-30,Север,B2C,Clothing,Non-Cash,434,488
2022-04-30,Север,B2C,Home & Kitchen,Cash,183,158
2022-04-30,Север,B2C,Home & Kitchen,Non-Cash,339,292
2022-04-30,Север,B2C,Sports,Cash,160,210
2022-04-30,Север,B2C,Sports,Non-Cash,296,390
2022-04-30,Север,B2C,Books,Cash,117,105
2022-04-30,Север,B2C,Books,Non-Cash,216,195
2022-04-30,Север,B2B,Electronics,Cash,357,420
2022-04-30,Север,B2B,Electronics,Non-Cash,663,780
2022-04-30,Север,B2B,Clothing,Cash,340,350
2022-04-30,Север,B2B,Clothing,Non-Cash,630,650
2022-04-30,Север,B2B,Home & Kitchen,Cash,248,210
2022-04-30,Север,B2B,Home & Kitchen,Non-Cash,460,390
2022-04-30,Север,B2B,Sports,Cash,322,280
2022-04-30,Север,B2B,Sports,Non-Cash,598,520
2022-04-30,Север,B2B,Books,Cash,120,140
2022-04-30,Север,B2B,Books,Non-Cash,224,260
2022-04-30,Север,Mobile Commerce,Electronics,Cash,291,378
2022-04-30,Север,Mobile Commerce,Electronics,Non-Cash,541,702
2022-04-30,Север,Mobile Commerce,Clothing,Cash,287,315
2022-04-30,Север,Mobile Commerce,Clothing,Non-Cash,532,585
2022-04-30,Север,Mobile Commerce,Home & Kitchen,Cash,202,189
2022-04-30,Север,Mobile Commerce,Home & Kitchen,Non-Cash,376,351
2022-04-30,Север,Mobile Commerce,Sports,Cash,189,252
2022-04-30,Север,Mobile Commerce,Sports,Non-Cash,351,468
2022-04-30,Север,Mobile Commerce,Books,Cash,142,126
2022-04-30,Север,Mobile Commerce,Books,Non-Cash,264,234
2022-04-30,Запад,B2C,Electronics,Cash,444,472
2022-04-30,Запад,B2C,Electronics,Non-Cash,825,878
2022-04-30,Запад,B2C,Clothing,Cash,477,394
2022-04-30,Запад,B2C,Clothing,Non-Cash,885,731
2022-04-30,Запад,B2C,Home & Kitchen,Cash,276,236
2022-04-30,Запад,B2C,Home & Kitchen,Non-Cash,514,439
2022-04-30,Запад,B2C,Sports,Cash,362,315
2022-04-30,Запад,B2C,Sports,Non-Cash,673,585
2022-04-30,Запад,B2C,Books,Cash,139,158
2022-04-30,Запад,B2C,Books,Non-Cash,257,292
2022-04-30,Запад,B2B,Electronics,Cash,662,630
2022-04-30,Запад,B2B,Electronics,Non-Cash,1228,1170
2022-04-30,Запад,B2B,Clothing,Cash,520,525
2022-04-30,Запад,B2B,Clothing,Non-Cash,965,975
2022-04-30,Запад,B2B,Home & Kitchen,Cash,243,315
2022-04-30,Запад,B2B,Home & Kitchen,Non-Cash,450,585
2022-04-30,Запад,B2B,Sports,Cash,328,420
2022-04-30,Запад,B2B,Sports,Non-Cash,608,780
2022-04-30,Запад,B2B,Books,Cash,220,210
2022-04-30,Запад,B2B,Books,Non-Cash,410,390
2022-04-30,Запад,Mobile Commerce,Electronics,Cash,618,567
2022-04-30,Запад,Mobile Commerce,Electronics,Non-Cash,1148,1053
2022-04-30,Запад,Mobile Commerce,Clothing,Cash,557,472
2022-04-30,Запад,Mobile Commerce,Clothing,Non-Cash,1036,878
2022-04-30,Запад,Mobile Commerce,Home & Kitchen,Cash,250,284
2022-04-30,Запад,Mobile Commerce,Home & Kitchen,Non-Cash,463,526
2022-04-30,Запад,Mobile Commerce,Sports,Cash,465,378
2022-04-30,Запад,Mobile Commerce,Sports,Non-Cash,863,702
2022-04-30,Запад,Mobile Commerce,Books,Cash,217,189
2022-04-30,Запад,Mobile Commerce,Books,Non-Cash,404,351
2022-04-30,Восток,B2C,Electronics,Cash,654,788
2022-04-30,Восток,B2C,Electronics,Non-Cash,1213,1462
2022-04-30,Восток,B2C,Clothing,Cash,617,656
2022-04-30,Восток,B2C,Clothing,Non-Cash,1146,1219
2022-04-30,Восток,B2C,Home & Kitchen,Cash,418,394
2022-04-30,Восток,B2C,Home & Kitchen,Non-Cash,775,731
2022-04-30,Восток,B2C,Sports,Cash,436,525
2022-04-30,Восток,B2C,Sports,Non-Cash,809,975
2022-04-30,Восток,B2C,Books,Cash,265,262
2022-04-30,Восток,B2C,Books,Non-Cash,493,488
2022-04-30,Восток,B2B,Electronics,Cash,808,1050
2022-04-30,Восток,B2B,Electronics,Non-Cash,1502,1950
2022-04-30,Восток,B2B,Clothing,Cash,682,875
2022-04-30,Восток,B2B,Clothing,Non-Cash,1268,1625
2022-04-30,Восток,B2B,Home & Kitchen,Cash,625,525
2022-04-30,Восток,B2B,Home & Kitchen,Non-Cash,1160,975
2022-04-30,Восток,B2B,Sports,Cash,623,700
2022-04-30,Восток,B2B,Sports,Non-Cash,1157,1300
2022-04-30,Восток,B2B,Books,Cash,374,350
2022-04-30,Восток,B2B,Books,Non-Cash,696,650
2022-04-30,Восток,Mobile Commerce,Electronics,Cash,747,945
2022-04-30,Восток,Mobile Commerce,Electronics,Non-Cash,1386,1755
2022-04-30,Восток,Mobile Commerce,Clothing,Cash,615,788
2022-04-30,Восток,Mobile Commerce,Clothing,Non-Cash,1140,1462
2022-04-30,Восток,Mobile Commerce,Home & Kitchen,Cash,566,472
2022-04-30,Восток,Mobile Commerce,Home & Kitchen,Non-Cash,1054,878
2022-04-30,Восток,Mobile Commerce,Sports,Cash,542,630
2022-04-30,Восток,Mobile Commerce,Sports,Non-Cash,1006,1170
2022-04-30,Восток,Mobile Commerce,Books,Cash,306,315
2022-04-30,Восток,Mobile Commerce,Books,Non-Cash,567,585
2022-05-31,Север,B2C,Electronics,Cash,277,315
2022-05-31,Север,B2C,Electronics,Non-Cash,515,585
2022-05-31,Север,B2C,Clothing,Cash,314,262
2022-05-31,Север,B2C,Clothing,Non-Cash,586,488
2022-05-31,Север,B2C,Home & Kitchen,Cash,136,158
2022-05-31,Север,B2C,Home & Kitchen,Non-Cash,251,292
2022-05-31,Север,B2C,Sports,Cash,191,210
2022-05-31,Север,B2C,Sports,Non-Cash,355,390
2022-05-31,Север,B2C,Books,Cash,104,105
2022-05-31,Север,B2C,Books,Non-Cash,193,195
2022-05-31,Север,B2B,Electronics,Cash,437,420
2022-05-31,Север,B2B,Electronics,Non-Cash,811,780
2022-05-31,Север,B2B,Clothing,Cash,336,350
2022-05-31,Север,B2B,Clothing,Non-Cash,624,650
2022-05-31,Север,B2B,Home & Kitchen,Cash,254,210
2022-05-31,Север,B2B,Home & Kitchen,Non-Cash,472,390
2022-05-31,Север,B2B,Sports,Cash,280,280
2022-05-31,Север,B2B,Sports,Non-Cash,520,520
2022-05-31,Север,B2B,Books,Cash,127,140
2022-05-31,Север,B2B,Books,Non-Cash,237,260
2022-05-31,Север,Mobile Commerce,Electronics,Cash,355,378
2022-05-31,Север,Mobile Commerce,Electronics,Non-Cash,660,702
2022-05-31,Север,Mobile Commerce,Clothing,Cash,340,315
2022-05-31,Север,Mobile Commerce,Clothing,Non-Cash,632,585
2022-05-31,Север,Mobile Commerce,Home & Kitchen,Cash,217,189
2022-05-31,Север,Mobile Commerce,Home & Kitchen,Non-Cash,404,351
2022-05-31,Север,Mobile Commerce,Sports,Cash,270,252
2022-05-31,Север,Mobile Commerce,Sports,Non-Cash,501,468
2022-05-31,Север,Mobile Commerce,Books,Cash,140,126
2022-05-31,Север,Mobile Commerce,Books,Non-Cash,260,234
2022-05-31,Запад,B2C,Electronics,Cash,382,472
2022-05-31,Запад,B2C,Electronics,Non-Cash,711,878
2022-05-31,Запад,B2C,Clothing,Cash,378,394
2022-05-31,Запад,B2C,Clothing,Non-Cash,702,731
2022-05-31,Запад,B2C,Home & Kitchen,Cash,250,236
2022-05-31,Запад,B2C,Home & Kitchen,Non-Cash,465,439
2022-05-31,Запад,B2C,Sports,Cash,277,315
2022-05-31,Запад,B2C,Sports,Non-Cash,515,585
2022-05-31,Запад,B2C,Books,Cash,130,158
2022-05-31,Запад,B2C,Books,Non-Cash,239,292
2022-05-31,Запад,B2B,Electronics,Cash,624,630
2022-05-31,Запад,B2B,Electronics,Non-Cash,1158,1170
2022-05-31,Запад,B2B,Clothing,Cash,472,525
2022-05-31,Запад,B2B,Clothing,Non-Cash,878,975
2022-05-31,Запад,B2B,Home & Kitchen,Cash,365,315
2022-05-31,Запад,B2B,Home & Kitchen,Non-Cash,679,585
2022-05-31,Запад,B2B,Sports,Cash,391,420
2022-05-31,Запад,B2B,Sports,Non-Cash,725,780
2022-05-31,Запад,B2B,Books,Cash,241,210
2022-05-31,Запад,B2B,Books,Non-Cash,448,390
2022-05-31,Запад,Mobile Commerce,Electronics,Cash,510,567
2022-05-31,Запад,Mobile Commerce,Electronics,Non-Cash,948,1053
2022-05-31,Запад,Mobile Commerce,Clothing,Cash,406,472
2022-05-31,Запад,Mobile Commerce,Clothing,Non-Cash,755,878
2022-05-31,Запад,Mobile Commerce,Home & Kitchen,Cash,321,284
2022-05-31,Запад,Mobile Commerce,Home & Kitchen,Non-Cash,594,526
2022-05-31,Запад,Mobile Commerce,Sports,Cash,461,378
2022-05-31,Запад,Mobile Commerce,Sports,Non-Cash,856,702
2022-05-31,Запад,Mobile Commerce,Books,Cash,197,189
2022-05-31,Запад,Mobile Commerce,Books,Non-Cash,365,351
2022-05-31,Восток,B2C,Electronics,Cash,599,788
2022-05-31,Восток,B2C,Electronics,Non-Cash,1111,1462
2022-05-31,Восток,B2C,Clothing,Cash,695,656
2022-05-31,Восток,B2C,Clothing,Non-Cash,1292,1219
2022-05-31,Восток,B2C,Home & Kitchen,Cash,469,394
2022-05-31,Восток,B2C,Home & Kitchen,Non-Cash,870,731
2022-05-31,Восток,B2C,Sports,Cash,520,525
2022-05-31,Восток,B2C,Sports,Non-Cash,965,975
2022-05-31,Восток,B2C,Books,Cash,259,262
2022-05-31,Восток,B2C,Books,Non-Cash,483,488
2022-05-31,Восток,B2B,Electronics,Cash,819,1050
2022-05-31,Восток,B2B,Electronics,Non-Cash,1521,1950
2022-05-31,Восток,B2B,Clothing,Cash,814,875
2022-05-31,Восток,B2B,Clothing,Non-Cash,1511,1625
2022-05-31,Восток,B2B,Home & Kitchen,Cash,640,525
2022-05-31,Восток,B2B,Home & Kitchen,Non-Cash,1190,975
2022-05-31,Восток,B2B,Sports,Cash,546,700
2022-05-31,Восток,B2B,Sports,Non-Cash,1014,1300
2022-05-31,Восток,B2B,Books,Cash,410,350
2022-05-31,Восток,B2B,Books,Non-Cash,760,650
2022-05-31,Восток,Mobile Commerce,Electronics,Cash,822,945
2022-05-31,Восток,Mobile Commerce,Electronics,Non-Cash,1527,1755
2022-05-31,Восток,Mobile Commerce,Clothing,Cash,890,788
2022-05-31,Восток,Mobile Commerce,Clothing,Non-Cash,1652,1462
2022-05-31,Восток,Mobile Commerce,Home & Kitchen,Cash,519,472
